MEASUREMENT,UNIT,CHANNEL,DATE TIME,RATIO,RESISTANCE,MEAN,SDEV

28.218278,C,1,2022-05-05 15:37:01,0.3534837089,3534.823268,28.218279,0.000062
28.218338,C,1,2022-05-05 15:37:03,0.3534829044,3534.815222,28.218290,0.000060
28.218360,C,1,2022-05-05 15:37:05,0.3534826145,3534.812324,28.218302,0.000061
28.218332,C,1,2022-05-05 15:37:07,0.3534829877,3534.816056,28.218306,0.000056
28.218358,C,1,2022-05-05 15:37:09,0.3534826299,3534.812477,28.218313,0.000055
28.218444,C,1,2022-05-05 15:37:11,0.3534814861,3534.801040,28.218327,0.000068
28.218652,C,1,2022-05-05 15:37:13,0.3534787020,3534.773199,28.218360,0.000121
28.218902,C,1,2022-05-05 15:37:15,0.3534753657,3534.739836,28.218409,0.000200
28.219202,C,1,2022-05-05 15:37:17,0.3534713433,3534.699612,28.218475,0.000298
28.219512,C,1,2022-05-05 15:37:19,0.3534671957,3534.658136,28.218555,0.000405
28.219866,C,1,2022-05-05 15:37:21,0.3534624653,3534.610833,28.218649,0.000524
28.220305,C,1,2022-05-05 15:37:23,0.3534565944,3534.552123,28.218759,0.000661
28.220797,C,1,2022-05-05 15:37:25,0.3534500115,3534.486296,28.218886,0.000817
28.221297,C,1,2022-05-05 15:37:27,0.3534433262,3534.419443,28.219028,0.000984
28.221829,C,1,2022-05-05 15:37:29,0.3534362121,3534.348302,28.219184,0.001161
28.222402,C,1,2022-05-05 15:37:31,0.3534285415,3534.271596,28.219353,0.001348
28.222997,C,1,2022-05-05 15:37:33,0.3534205904,3534.192085,28.219535,0.001545
28.223656,C,1,2022-05-05 15:37:35,0.3534117723,3534.103905,28.219732,0.001754
28.224350,C,1,2022-05-05 15:37:37,0.3534024997,3534.011179,28.219942,0.001974
28.225115,C,1,2022-05-05 15:37:39,0.3533922653,3533.908835,28.220167,0.002210
28.225962,C,1,2022-05-05 15:37:41,0.3533809465,3533.795648,28.220408,0.002464
28.226756,C,1,2022-05-05 15:37:43,0.3533703278,3533.689461,28.220662,0.002726
28.227498,C,1,2022-05-05 15:37:45,0.3533603973,3533.590157,28.220925,0.002988
28.228216,C,1,2022-05-05 15:37:47,0.3533508009,3533.494193,28.221195,0.003249
28.228910,C,1,2022-05-05 15:37:49,0.3533415218,3533.401402,28.221470,0.003506
28.229567,C,1,2022-05-05 15:37:51,0.3533327417,3533.313602,28.221750,0.003757
28.230148,C,1,2022-05-05 15:37:53,0.3533249744,3533.235929,28.222030,0.003997
28.230656,C,1,2022-05-05 15:37:55,0.3533181818,3533.168003,28.222308,0.004224
28.231169,C,1,2022-05-05 15:37:57,0.3533113241,3533.099427,28.222585,0.004441
28.231595,C,1,2022-05-05 15:37:59,0.3533056310,3533.042496,28.222858,0.004644
28.231916,C,1,2022-05-05 15:38:01,0.3533013395,3532.999581,28.223124,0.004830
28.232256,C,1,2022-05-05 15:38:03,0.3532967924,3532.954110,28.223385,0.005002
28.232649,C,1,2022-05-05 15:38:05,0.3532915361,3532.901547,28.223642,0.005166
28.233061,C,1,2022-05-05 15:38:07,0.3532860297,3532.846484,28.223897,0.005324
28.233388,C,1,2022-05-05 15:38:09,0.3532816550,3532.802736,28.224147,0.005473
28.233698,C,1,2022-05-05 15:38:11,0.3532775144,3532.761331,28.224392,0.005613
28.234042,C,1,2022-05-05 15:38:13,0.3532729176,3532.715363,28.224633,0.005747
28.234471,C,1,2022-05-05 15:38:15,0.3532671758,3532.657945,28.224873,0.005879
28.234940,C,1,2022-05-05 15:38:17,0.3532609128,3532.595316,28.225113,0.006011
28.235384,C,1,2022-05-05 15:38:19,0.3532549740,3532.535928,28.225351,0.006142
28.235854,C,1,2022-05-05 15:38:21,0.3532486917,3532.473105,28.225590,0.006273
28.236330,C,1,2022-05-05 15:38:23,0.3532423351,3532.409539,28.225829,0.006405
28.236719,C,1,2022-05-05 15:38:25,0.3532371313,3532.357502,28.226066,0.006534
28.237077,C,1,2022-05-05 15:38:27,0.3532323512,3532.309700,28.226300,0.006659
28.237357,C,1,2022-05-05 15:38:29,0.3532286117,3532.272306,28.226530,0.006778
28.237592,C,1,2022-05-05 15:38:31,0.3532254690,3532.240878,28.226756,0.006891
28.237773,C,1,2022-05-05 15:38:33,0.3532230483,3532.216671,28.226976,0.006996
28.237935,C,1,2022-05-05 15:38:35,0.3532208844,3532.195033,28.227191,0.007093
28.238065,C,1,2022-05-05 15:38:37,0.3532191404,3532.177593,28.227400,0.007184
28.238139,C,1,2022-05-05 15:38:39,0.3532181554,3532.167743,28.227603,0.007266
28.238117,C,1,2022-05-05 15:38:41,0.3532184532,3532.170721,28.227798,0.007338
28.238031,C,1,2022-05-05 15:38:43,0.3532196028,3532.182217,28.227984,0.007399
