MEASUREMENT,UNIT,CHANNEL,DATE TIME,RATIO,RESISTANCE,MEAN,SDEV

0.151010,C,1,2024-05-23 15:15:39,1.1214157206,11214.11336,0.151236,0.008991
0.151005,C,1,2024-05-23 15:15:41,1.1214159733,11214.11589,0.151236,0.008986
0.150993,C,1,2024-05-23 15:15:43,1.1214165919,11214.12207,0.151235,0.008980
0.150970,C,1,2024-05-23 15:15:45,1.1214177315,11214.13347,0.151235,0.008975
0.150948,C,1,2024-05-23 15:15:47,1.1214188245,11214.14440,0.151235,0.008970
0.150927,C,1,2024-05-23 15:15:49,1.1214199206,11214.15536,0.151234,0.008964
0.150908,C,1,2024-05-23 15:15:51,1.1214208363,11214.16452,0.151234,0.008959
0.150891,C,1,2024-05-23 15:15:53,1.1214217172,11214.17332,0.151233,0.008954
0.150875,C,1,2024-05-23 15:15:55,1.1214224931,11214.18108,0.151233,0.008949
0.150860,C,1,2024-05-23 15:15:57,1.1214232737,11214.18889,0.151233,0.008944
0.150848,C,1,2024-05-23 15:15:59,1.1214238492,11214.19464,0.151232,0.008938
0.150835,C,1,2024-05-23 15:16:01,1.1214245247,11214.20140,0.151232,0.008933
0.150825,C,1,2024-05-23 15:16:03,1.1214250166,11214.20632,0.151231,0.008928
0.150813,C,1,2024-05-23 15:16:05,1.1214255901,11214.21205,0.151231,0.008923
0.150808,C,1,2024-05-23 15:16:07,1.1214258748,11214.21490,0.151230,0.008918
0.150798,C,1,2024-05-23 15:16:09,1.1214263386,11214.21954,0.151230,0.008913
0.150799,C,1,2024-05-23 15:16:11,1.1214263259,11214.21941,0.151229,0.008907
0.150794,C,1,2024-05-23 15:16:13,1.1214265639,11214.22179,0.151229,0.008902
0.150782,C,1,2024-05-23 15:16:15,1.1214271709,11214.22786,0.151228,0.008897
0.150763,C,1,2024-05-23 15:16:17,1.1214281218,11214.23737,0.151228,0.008892
0.150745,C,1,2024-05-23 15:16:19,1.1214289970,11214.24612,0.151227,0.008887
0.150723,C,1,2024-05-23 15:16:21,1.1214301013,11214.25717,0.151227,0.008882
0.150702,C,1,2024-05-23 15:16:23,1.1214311588,11214.26774,0.151226,0.008877
0.150676,C,1,2024-05-23 15:16:25,1.1214324979,11214.28113,0.151225,0.008872
0.150651,C,1,2024-05-23 15:16:27,1.1214337421,11214.29357,0.151225,0.008867
0.150617,C,1,2024-05-23 15:16:29,1.1214354114,11214.31027,0.151224,0.008862
0.150579,C,1,2024-05-23 15:16:31,1.1214373406,11214.32956,0.151223,0.008857
0.150556,C,1,2024-05-23 15:16:33,1.1214384992,11214.34114,0.151222,0.008852
0.150540,C,1,2024-05-23 15:16:35,1.1214393148,11214.34930,0.151222,0.008847
0.150523,C,1,2024-05-23 15:16:37,1.1214401566,11214.35772,0.151221,0.008842
0.150504,C,1,2024-05-23 15:16:39,1.1214410910,11214.36706,0.151220,0.008837
0.150476,C,1,2024-05-23 15:16:41,1.1214424844,11214.38100,0.151219,0.008832
0.150442,C,1,2024-05-23 15:16:43,1.1214441846,11214.39800,0.151218,0.008827
0.150416,C,1,2024-05-23 15:16:45,1.1214455029,11214.41118,0.151217,0.008822
